"","Year","Month","Police.District.Name","num"
"721","2019","11","TAKOMA PARK",82
"722","2018","11","TAKOMA PARK",81
"723","2020","03","TAKOMA PARK",81
"724","2025","08","MONTGOMERY VILLAGE",81
"725","2017","02","TAKOMA PARK",80
"726","2017","12","TAKOMA PARK",80
"727","2018","04","TAKOMA PARK",80
"728","2020","02","TAKOMA PARK",80
"729","2021","07","TAKOMA PARK",80
"730","2019","06","TAKOMA PARK",79
"731","2019","12","TAKOMA PARK",79
"732","2021","01","TAKOMA PARK",79
"733","2016","08","TAKOMA PARK",78
"734","2018","05","TAKOMA PARK",78
"735","2020","09","TAKOMA PARK",78
"736","2020","11","TAKOMA PARK",78
"737","2025","07","TAKOMA PARK",78
"738","2025","08","GERMANTOWN",78
"739","2017","07","TAKOMA PARK",77
"740","2019","04","TAKOMA PARK",77
"741","2021","04","TAKOMA PARK",76
"742","2021","12","TAKOMA PARK",76
"743","2018","02","TAKOMA PARK",75
"744","2022","02","TAKOMA PARK",75
"745","2020","06","TAKOMA PARK",74
"746","2019","07","TAKOMA PARK",73
"747","2021","08","TAKOMA PARK",73
"748","2021","11","TAKOMA PARK",73
"749","2024","11","TAKOMA PARK",73
"750","2020","07","TAKOMA PARK",72
"751","2025","08","BETHESDA",71
"752","2018","01","TAKOMA PARK",70
"753","2019","09","TAKOMA PARK",69
"754","2018","08","TAKOMA PARK",68
"755","2025","08","ROCKVILLE",68
"756","2019","01","TAKOMA PARK",67
"757","2019","02","TAKOMA PARK",67
"758","2020","04","TAKOMA PARK",67
"759","2016","11","TAKOMA PARK",66
"760","2020","10","TAKOMA PARK",66
"761","2025","04","TAKOMA PARK",66
"762","2020","12","TAKOMA PARK",65
"763","2021","09","TAKOMA PARK",65
"764","2018","07","TAKOMA PARK",61
"765","2025","02","TAKOMA PARK",61
"766","2025","01","TAKOMA PARK",60
"767","2022","01","TAKOMA PARK",59
"768","2024","12","TAKOMA PARK",59
"769","2018","09","TAKOMA PARK",55
"770","2025","08","TAKOMA PARK",21
