"","Year","Month","Police.District.Name","num"
"150","2021","11","SILVER SPRING",622
"151","2022","06","SILVER SPRING",622
"152","2019","08","MONTGOMERY VILLAGE",620
"153","2020","07","SILVER SPRING",620
"154","2021","12","SILVER SPRING",620
"155","2020","02","WHEATON",619
"156","2023","07","WHEATON",618
"157","2018","02","WHEATON",617
"158","2017","12","MONTGOMERY VILLAGE",616
"159","2018","08","MONTGOMERY VILLAGE",616
"160","2024","08","WHEATON",616
"161","2024","03","SILVER SPRING",615
"162","2016","12","MONTGOMERY VILLAGE",611
"163","2019","08","WHEATON",611
"164","2024","04","SILVER SPRING",610
"165","2023","11","MONTGOMERY VILLAGE",609
"166","2023","08","WHEATON",608
"167","2023","12","WHEATON",608
"168","2025","01","SILVER SPRING",608
"169","2025","02","SILVER SPRING",604
"170","2020","10","SILVER SPRING",600
"171","2020","12","SILVER SPRING",595
"172","2017","03","MONTGOMERY VILLAGE",594
"173","2022","02","SILVER SPRING",594
"174","2018","07","MONTGOMERY VILLAGE",592
"175","2022","12","WHEATON",592
"176","2020","05","SILVER SPRING",591
"177","2023","10","WHEATON",591
"178","2022","04","SILVER SPRING",589
"179","2024","09","MONTGOMERY VILLAGE",589
"180","2024","04","WHEATON",587
"181","2018","12","MONTGOMERY VILLAGE",586
"182","2022","09","WHEATON",585
"183","2019","10","MONTGOMERY VILLAGE",584
"184","2023","01","WHEATON",584
"185","2023","09","MONTGOMERY VILLAGE",581
"186","2020","08","SILVER SPRING",579
"187","2019","05","MONTGOMERY VILLAGE",578
"188","2020","11","SILVER SPRING",578
"189","2024","12","WHEATON",577
"190","2023","05","WHEATON",576
"191","2020","09","SILVER SPRING",575
"192","2022","09","MONTGOMERY VILLAGE",575
"193","2017","10","GERMANTOWN",574
"194","2021","06","SILVER SPRING",574
"195","2022","10","MONTGOMERY VILLAGE",573
"196","2023","07","MONTGOMERY VILLAGE",573
"197","2019","11","MONTGOMERY VILLAGE",572
"198","2021","09","SILVER SPRING",572
"199","2016","12","GERMANTOWN",571
"200","2017","06","MONTGOMERY VILLAGE",571
"201","2023","02","WHEATON",571
"202","2017","04","MONTGOMERY VILLAGE",570
"203","2019","07","MONTGOMERY VILLAGE",570
"204","2019","09","MONTGOMERY VILLAGE",569
"205","2022","08","MONTGOMERY VILLAGE",568
"206","2016","12","BETHESDA",565
"207","2022","07","MONTGOMERY VILLAGE",565
"208","2023","03","MONTGOMERY VILLAGE",565
"209","2021","08","SILVER SPRING",563
"210","2023","12","MONTGOMERY VILLAGE",561
"211","2025","06","SILVER SPRING",560
"212","2022","08","WHEATON",559
"213","2018","10","MONTGOMERY VILLAGE",558
"214","2018","05","MONTGOMERY VILLAGE",557
"215","2019","03","MONTGOMERY VILLAGE",552
"216","2021","12","WHEATON",551
"217","2017","01","MONTGOMERY VILLAGE",548
"218","2022","10","WHEATON",548
"219","2018","04","MONTGOMERY VILLAGE",546
"220","2018","11","MONTGOMERY VILLAGE",546
"221","2019","02","WHEATON",546
"222","2022","12","MONTGOMERY VILLAGE",546
"223","2020","08","MONTGOMERY VILLAGE",545
"224","2024","05","MONTGOMERY VILLAGE",544
"225","2024","08","MONTGOMERY VILLAGE",544
"226","2022","11","WHEATON",542
"227","2018","03","MONTGOMERY VILLAGE",541
"228","2021","10","MONTGOMERY VILLAGE",541
"229","2022","01","WHEATON",540
"230","2020","12","MONTGOMERY VILLAGE",538
"231","2022","10","BETHESDA",537
"232","2024","01","MONTGOMERY VILLAGE",537
"233","2024","07","MONTGOMERY VILLAGE",536
"234","2018","02","MONTGOMERY VILLAGE",535
"235","2024","06","WHEATON",534
"236","2020","09","WHEATON",532
"237","2020","01","MONTGOMERY VILLAGE",531
"238","2020","05","WHEATON",531
"239","2020","11","MONTGOMERY VILLAGE",531
"240","2020","02","MONTGOMERY VILLAGE",530
"241","2022","01","SILVER SPRING",530
"242","2022","03","BETHESDA",529
"243","2021","04","SILVER SPRING",528
"244","2023","09","WHEATON",527
"245","2016","09","BETHESDA",526
"246","2017","06","ROCKVILLE",526
"247","2021","09","MONTGOMERY VILLAGE",526
"248","2022","03","WHEATON",526
"249","2024","10","MONTGOMERY VILLAGE",525
"250","2017","11","GERMANTOWN",523
"251","2018","06","GERMANTOWN",523
"252","2019","06","MONTGOMERY VILLAGE",523
"253","2021","01","SILVER SPRING",523
"254","2021","05","SILVER SPRING",523
"255","2017","04","BETHESDA",522
"256","2018","09","MONTGOMERY VILLAGE",521
"257","2023","01","MONTGOMERY VILLAGE",521
"258","2023","05","BETHESDA",520
"259","2023","06","WHEATON",520
"260","2018","01","MONTGOMERY VILLAGE",519
"261","2022","08","BETHESDA",519
"262","2025","03","WHEATON",519
"263","2019","03","BETHESDA",518
"264","2020","04","SILVER SPRING",518
"265","2020","07","MONTGOMERY VILLAGE",517
"266","2022","03","MONTGOMERY VILLAGE",517
"267","2020","10","WHEATON",516
"268","2020","12","WHEATON",516
"269","2024","05","BETHESDA",516
"270","2019","04","MONTGOMERY VILLAGE",515
"271","2020","03","MONTGOMERY VILLAGE",514
"272","2025","05","MONTGOMERY VILLAGE",514
"273","2024","02","MONTGOMERY VILLAGE",513
"274","2016","08","BETHESDA",512
"275","2020","09","MONTGOMERY VILLAGE",512
"276","2021","10","WHEATON",512
"277","2025","07","SILVER SPRING",512
"278","2019","04","BETHESDA",511
"279","2021","10","BETHESDA",511
"280","2017","08","ROCKVILLE",510
"281","2018","06","MONTGOMERY VILLAGE",510
"282","2021","07","WHEATON",510
"283","2018","05","GERMANTOWN",509
"284","2016","10","ROCKVILLE",508
"285","2022","02","WHEATON",508
"286","2022","06","MONTGOMERY VILLAGE",508
"287","2020","06","SILVER SPRING",506
"288","2017","03","BETHESDA",505
"289","2017","06","BETHESDA",505
"290","2017","09","GERMANTOWN",505
"291","2018","07","GERMANTOWN",504
"292","2018","10","GERMANTOWN",503
"293","2021","06","WHEATON",503
"294","2021","12","BETHESDA",503
"295","2023","10","BETHESDA",503
"296","2020","11","WHEATON",502
"297","2023","06","BETHESDA",501
"298","2018","07","ROCKVILLE",500
"299","2021","03","WHEATON",500
"300","2023","04","BETHESDA",500
"301","2016","10","GERMANTOWN",499
"302","2020","10","MONTGOMERY VILLAGE",499
"303","2024","05","GERMANTOWN",499
"304","2018","04","GERMANTOWN",498
"305","2024","03","MONTGOMERY VILLAGE",498
"306","2017","08","BETHESDA",496
