"","JURISDICTION","YEAR","CRIME","NUMBER"
"124","Baltimore City",1990,"RAPE",691
"125","Baltimore City",1991,"MURDER",304
"126","Baltimore City",1991,"RAPE",702
"127","Baltimore City",1992,"MURDER",335
"128","Baltimore City",1992,"RAPE",754
"129","Baltimore City",1993,"MURDER",353
"130","Baltimore City",1993,"RAPE",668
"131","Baltimore City",1994,"MURDER",321
"132","Baltimore City",1994,"RAPE",639
"133","Baltimore City",1995,"MURDER",325
"134","Baltimore City",1995,"RAPE",684
"135","Baltimore City",1996,"MURDER",333
"136","Baltimore City",1996,"RAPE",643
"137","Baltimore City",1997,"MURDER",313
"138","Baltimore City",1997,"RAPE",480
"139","Baltimore City",1998,"MURDER",315
"140","Baltimore City",1998,"RAPE",470
"141","Baltimore City",1999,"MURDER",305
"142","Baltimore City",1999,"RAPE",374
"143","Baltimore City",2000,"MURDER",261
"144","Baltimore City",2000,"RAPE",366
"145","Baltimore City",2001,"MURDER",256
"146","Baltimore City",2001,"RAPE",299
"147","Baltimore City",2002,"MURDER",253
"148","Baltimore City",2002,"RAPE",179
"149","Baltimore City",2003,"MURDER",270
"150","Baltimore City",2003,"RAPE",208
"151","Baltimore City",2004,"MURDER",276
"152","Baltimore City",2004,"RAPE",182
"153","Baltimore City",2005,"MURDER",269
"154","Baltimore City",2005,"RAPE",162
"155","Baltimore City",2006,"MURDER",276
"156","Baltimore City",2006,"RAPE",139
"157","Baltimore City",2007,"MURDER",282
"158","Baltimore City",2007,"RAPE",146
"159","Baltimore City",2008,"MURDER",234
"160","Baltimore City",2008,"RAPE",137
"161","Baltimore City",2009,"MURDER",238
"162","Baltimore City",2009,"RAPE",158
"163","Baltimore City",2010,"MURDER",223
"164","Baltimore City",2010,"RAPE",266
"165","Baltimore City",2011,"MURDER",197
"166","Baltimore City",2011,"RAPE",341
"167","Baltimore City",2012,"MURDER",216
"168","Baltimore City",2012,"RAPE",317
"169","Baltimore City",2013,"MURDER",233
"170","Baltimore City",2013,"RAPE",298
"171","Baltimore City",2014,"MURDER",211
"172","Baltimore City",2014,"RAPE",245
"173","Baltimore City",2015,"MURDER",344
"174","Baltimore City",2015,"RAPE",287
"175","Baltimore City",2016,"MURDER",318
"176","Baltimore City",2016,"RAPE",299
"177","Baltimore City",2017,"MURDER",342
"178","Baltimore City",2017,"RAPE",385
"179","Baltimore City",2018,"MURDER",309
"180","Baltimore City",2018,"RAPE",367
"181","Baltimore City",2019,"MURDER",348
"182","Baltimore City",2019,"RAPE",325
"183","Baltimore City",2020,"MURDER",334
"184","Baltimore City",2020,"RAPE",324
"185","Baltimore County",1975,"MURDER",27
"186","Baltimore County",1975,"RAPE",153
"187","Baltimore County",1976,"MURDER",22
"188","Baltimore County",1976,"RAPE",155
"189","Baltimore County",1977,"MURDER",26
"190","Baltimore County",1977,"RAPE",169
"191","Baltimore County",1978,"MURDER",29
"192","Baltimore County",1978,"RAPE",185
"193","Baltimore County",1979,"MURDER",23
"194","Baltimore County",1979,"RAPE",196
"195","Baltimore County",1980,"MURDER",26
"196","Baltimore County",1980,"RAPE",190
"197","Baltimore County",1981,"MURDER",32
"198","Baltimore County",1981,"RAPE",192
"199","Baltimore County",1982,"MURDER",34
"200","Baltimore County",1982,"RAPE",166
"201","Baltimore County",1983,"MURDER",34
"202","Baltimore County",1983,"RAPE",150
"203","Baltimore County",1984,"MURDER",28
"204","Baltimore County",1984,"RAPE",176
"205","Baltimore County",1985,"MURDER",24
"206","Baltimore County",1985,"RAPE",183
"207","Baltimore County",1986,"MURDER",31
"208","Baltimore County",1986,"RAPE",200
"209","Baltimore County",1987,"MURDER",32
"210","Baltimore County",1987,"RAPE",207
"211","Baltimore County",1988,"MURDER",24
"212","Baltimore County",1988,"RAPE",194
"213","Baltimore County",1989,"MURDER",33
"214","Baltimore County",1989,"RAPE",225
"215","Baltimore County",1990,"MURDER",34
"216","Baltimore County",1990,"RAPE",262
"217","Baltimore County",1991,"MURDER",24
"218","Baltimore County",1991,"RAPE",278
"219","Baltimore County",1992,"MURDER",43
"220","Baltimore County",1992,"RAPE",303
"221","Baltimore County",1993,"MURDER",36
"222","Baltimore County",1993,"RAPE",283
"223","Baltimore County",1994,"MURDER",31
"224","Baltimore County",1994,"RAPE",288
"225","Baltimore County",1995,"MURDER",38
"226","Baltimore County",1995,"RAPE",251
"227","Baltimore County",1996,"MURDER",34
"228","Baltimore County",1996,"RAPE",276
"229","Baltimore County",1997,"MURDER",23
"230","Baltimore County",1997,"RAPE",256
"231","Baltimore County",1998,"MURDER",20
"232","Baltimore County",1998,"RAPE",226
"233","Baltimore County",1999,"MURDER",30
"234","Baltimore County",1999,"RAPE",190
"235","Baltimore County",2000,"MURDER",33
"236","Baltimore County",2000,"RAPE",240
"237","Baltimore County",2001,"MURDER",31
"238","Baltimore County",2001,"RAPE",237
"239","Baltimore County",2002,"MURDER",29
"240","Baltimore County",2002,"RAPE",236
"241","Baltimore County",2003,"MURDER",31
"242","Baltimore County",2003,"RAPE",210
"243","Baltimore County",2004,"MURDER",29
"244","Baltimore County",2004,"RAPE",198
"245","Baltimore County",2005,"MURDER",40
"246","Baltimore County",2005,"RAPE",178
"247","Baltimore County",2006,"MURDER",35
"248","Baltimore County",2006,"RAPE",143
"249","Baltimore County",2007,"MURDER",36
"250","Baltimore County",2007,"RAPE",151
"251","Baltimore County",2008,"MURDER",31
"252","Baltimore County",2008,"RAPE",152
"253","Baltimore County",2009,"MURDER",32
"254","Baltimore County",2009,"RAPE",154
"255","Baltimore County",2010,"MURDER",20
"256","Baltimore County",2010,"RAPE",126
"257","Baltimore County",2011,"MURDER",30
"258","Baltimore County",2011,"RAPE",147
"259","Baltimore County",2012,"MURDER",23
"260","Baltimore County",2012,"RAPE",147
"261","Baltimore County",2013,"MURDER",20
"262","Baltimore County",2013,"RAPE",125
"263","Baltimore County",2014,"MURDER",25
"264","Baltimore County",2014,"RAPE",100
"265","Baltimore County",2015,"MURDER",32
"266","Baltimore County",2015,"RAPE",334
"267","Baltimore County",2016,"MURDER",35
"268","Baltimore County",2016,"RAPE",319
"269","Baltimore County",2017,"MURDER",35
"270","Baltimore County",2017,"RAPE",326
"271","Baltimore County",2018,"MURDER",28
"272","Baltimore County",2018,"RAPE",352
"273","Baltimore County",2019,"MURDER",50
"274","Baltimore County",2019,"RAPE",384
"275","Baltimore County",2020,"MURDER",33
"276","Baltimore County",2020,"RAPE",348
"277","Frederick County",1975,"MURDER",4
"278","Frederick County",1975,"RAPE",12
"279","Frederick County",1976,"MURDER",8
"280","Frederick County",1976,"RAPE",8
