"","JURISDICTION","YEAR","CRIME","NUMBER"
"90","Anne Arundel County",1997,"AGGRAVATED ASSAULT",1416
"91","Anne Arundel County",1997,"BREAKING & ENTERING",3817
"92","Anne Arundel County",1997,"MOTOR VEHICLE THEFT",1760
"93","Anne Arundel County",1998,"ROBBERY",631
"94","Anne Arundel County",1998,"AGGRAVATED ASSAULT",1813
"95","Anne Arundel County",1998,"BREAKING & ENTERING",3525
"96","Anne Arundel County",1998,"MOTOR VEHICLE THEFT",1529
"97","Anne Arundel County",1999,"ROBBERY",541
"98","Anne Arundel County",1999,"AGGRAVATED ASSAULT",2157
"99","Anne Arundel County",1999,"BREAKING & ENTERING",3495
"100","Anne Arundel County",1999,"MOTOR VEHICLE THEFT",1418
"101","Anne Arundel County",2000,"ROBBERY",646
"102","Anne Arundel County",2000,"AGGRAVATED ASSAULT",2610
"103","Anne Arundel County",2000,"BREAKING & ENTERING",3147
"104","Anne Arundel County",2000,"MOTOR VEHICLE THEFT",1398
"105","Anne Arundel County",2001,"ROBBERY",736
"106","Anne Arundel County",2001,"AGGRAVATED ASSAULT",2932
"107","Anne Arundel County",2001,"BREAKING & ENTERING",3206
"108","Anne Arundel County",2001,"MOTOR VEHICLE THEFT",1258
"109","Anne Arundel County",2002,"ROBBERY",754
"110","Anne Arundel County",2002,"AGGRAVATED ASSAULT",2742
"111","Anne Arundel County",2002,"BREAKING & ENTERING",3191
"112","Anne Arundel County",2002,"MOTOR VEHICLE THEFT",1484
"113","Anne Arundel County",2003,"ROBBERY",753
"114","Anne Arundel County",2003,"AGGRAVATED ASSAULT",2633
"115","Anne Arundel County",2003,"BREAKING & ENTERING",3107
"116","Anne Arundel County",2003,"MOTOR VEHICLE THEFT",1441
"117","Anne Arundel County",2004,"ROBBERY",767
"118","Anne Arundel County",2004,"AGGRAVATED ASSAULT",2403
"119","Anne Arundel County",2004,"BREAKING & ENTERING",2986
"120","Anne Arundel County",2004,"MOTOR VEHICLE THEFT",1631
"121","Anne Arundel County",2005,"ROBBERY",865
"122","Anne Arundel County",2005,"AGGRAVATED ASSAULT",2198
"123","Anne Arundel County",2005,"BREAKING & ENTERING",3122
"124","Anne Arundel County",2005,"MOTOR VEHICLE THEFT",1524
"125","Anne Arundel County",2006,"ROBBERY",943
"126","Anne Arundel County",2006,"AGGRAVATED ASSAULT",2091
"127","Anne Arundel County",2006,"BREAKING & ENTERING",3420
"128","Anne Arundel County",2006,"MOTOR VEHICLE THEFT",1654
"129","Anne Arundel County",2007,"ROBBERY",910
"130","Anne Arundel County",2007,"AGGRAVATED ASSAULT",2048
"131","Anne Arundel County",2007,"BREAKING & ENTERING",3412
"132","Anne Arundel County",2007,"MOTOR VEHICLE THEFT",1667
"133","Anne Arundel County",2008,"ROBBERY",810
"134","Anne Arundel County",2008,"AGGRAVATED ASSAULT",1994
"135","Anne Arundel County",2008,"BREAKING & ENTERING",3419
"136","Anne Arundel County",2008,"MOTOR VEHICLE THEFT",1581
"137","Anne Arundel County",2009,"ROBBERY",746
"138","Anne Arundel County",2009,"AGGRAVATED ASSAULT",2063
"139","Anne Arundel County",2009,"BREAKING & ENTERING",3067
"140","Anne Arundel County",2009,"MOTOR VEHICLE THEFT",1134
"141","Anne Arundel County",2010,"ROBBERY",661
"142","Anne Arundel County",2010,"AGGRAVATED ASSAULT",2137
"143","Anne Arundel County",2010,"BREAKING & ENTERING",2860
"144","Anne Arundel County",2010,"MOTOR VEHICLE THEFT",1236
"145","Anne Arundel County",2011,"ROBBERY",597
"146","Anne Arundel County",2011,"AGGRAVATED ASSAULT",1972
"147","Anne Arundel County",2011,"BREAKING & ENTERING",2259
"148","Anne Arundel County",2011,"MOTOR VEHICLE THEFT",832
"149","Anne Arundel County",2012,"ROBBERY",538
"150","Anne Arundel County",2012,"AGGRAVATED ASSAULT",1630
"151","Anne Arundel County",2012,"BREAKING & ENTERING",2585
"152","Anne Arundel County",2012,"MOTOR VEHICLE THEFT",888
"153","Anne Arundel County",2013,"ROBBERY",630
"154","Anne Arundel County",2013,"AGGRAVATED ASSAULT",1603
"155","Anne Arundel County",2013,"BREAKING & ENTERING",2522
"156","Anne Arundel County",2013,"MOTOR VEHICLE THEFT",677
"157","Anne Arundel County",2014,"ROBBERY",634
"158","Anne Arundel County",2014,"AGGRAVATED ASSAULT",1523
"159","Anne Arundel County",2014,"BREAKING & ENTERING",2152
"160","Anne Arundel County",2014,"MOTOR VEHICLE THEFT",702
"161","Anne Arundel County",2015,"ROBBERY",613
"162","Anne Arundel County",2015,"AGGRAVATED ASSAULT",1425
"163","Anne Arundel County",2015,"BREAKING & ENTERING",2084
"164","Anne Arundel County",2015,"MOTOR VEHICLE THEFT",629
"165","Anne Arundel County",2016,"ROBBERY",558
"166","Anne Arundel County",2016,"AGGRAVATED ASSAULT",1575
"167","Anne Arundel County",2016,"BREAKING & ENTERING",1979
"168","Anne Arundel County",2016,"MOTOR VEHICLE THEFT",622
"169","Anne Arundel County",2017,"ROBBERY",629
"170","Anne Arundel County",2017,"AGGRAVATED ASSAULT",1433
"171","Anne Arundel County",2017,"BREAKING & ENTERING",1729
"172","Anne Arundel County",2017,"MOTOR VEHICLE THEFT",667
"173","Anne Arundel County",2018,"ROBBERY",473
"174","Anne Arundel County",2018,"AGGRAVATED ASSAULT",1382
"175","Anne Arundel County",2018,"BREAKING & ENTERING",1359
"176","Anne Arundel County",2018,"MOTOR VEHICLE THEFT",688
"177","Anne Arundel County",2019,"ROBBERY",438
"178","Anne Arundel County",2019,"AGGRAVATED ASSAULT",1220
"179","Anne Arundel County",2019,"BREAKING & ENTERING",1143
"180","Anne Arundel County",2019,"MOTOR VEHICLE THEFT",659
"181","Anne Arundel County",2020,"ROBBERY",357
"182","Anne Arundel County",2020,"AGGRAVATED ASSAULT",1286
"183","Anne Arundel County",2020,"BREAKING & ENTERING",1053
"184","Anne Arundel County",2020,"MOTOR VEHICLE THEFT",626
"185","Baltimore City",1975,"ROBBERY",9055
"186","Baltimore City",1975,"AGGRAVATED ASSAULT",6309
"187","Baltimore City",1975,"BREAKING & ENTERING",15787
"188","Baltimore City",1975,"MOTOR VEHICLE THEFT",7602
"189","Baltimore City",1976,"ROBBERY",7764
"190","Baltimore City",1976,"AGGRAVATED ASSAULT",5788
"191","Baltimore City",1976,"BREAKING & ENTERING",15443
"192","Baltimore City",1976,"MOTOR VEHICLE THEFT",5903
"193","Baltimore City",1977,"ROBBERY",7574
"194","Baltimore City",1977,"AGGRAVATED ASSAULT",6075
"195","Baltimore City",1977,"BREAKING & ENTERING",15463
"196","Baltimore City",1977,"MOTOR VEHICLE THEFT",6213
"197","Baltimore City",1978,"ROBBERY",8103
"198","Baltimore City",1978,"AGGRAVATED ASSAULT",5849
"199","Baltimore City",1978,"BREAKING & ENTERING",15969
"200","Baltimore City",1978,"MOTOR VEHICLE THEFT",5909
"201","Baltimore City",1979,"ROBBERY",8492
"202","Baltimore City",1979,"AGGRAVATED ASSAULT",6247
"203","Baltimore City",1979,"BREAKING & ENTERING",17054
"204","Baltimore City",1979,"MOTOR VEHICLE THEFT",6807
"205","Baltimore City",1980,"ROBBERY",10046
"206","Baltimore City",1980,"AGGRAVATED ASSAULT",5805
"207","Baltimore City",1980,"BREAKING & ENTERING",17774
"208","Baltimore City",1980,"MOTOR VEHICLE THEFT",5661
"209","Baltimore City",1981,"ROBBERY",10737
"210","Baltimore City",1981,"AGGRAVATED ASSAULT",6258
"211","Baltimore City",1981,"BREAKING & ENTERING",18604
"212","Baltimore City",1981,"MOTOR VEHICLE THEFT",5331
"213","Baltimore City",1982,"ROBBERY",9357
"214","Baltimore City",1982,"AGGRAVATED ASSAULT",6592
"215","Baltimore City",1982,"BREAKING & ENTERING",16501
"216","Baltimore City",1982,"MOTOR VEHICLE THEFT",4462
"217","Baltimore City",1983,"ROBBERY",9176
"218","Baltimore City",1983,"AGGRAVATED ASSAULT",6291
"219","Baltimore City",1983,"BREAKING & ENTERING",14690
"220","Baltimore City",1983,"MOTOR VEHICLE THEFT",4470
"221","Baltimore City",1984,"ROBBERY",8017
"222","Baltimore City",1984,"AGGRAVATED ASSAULT",6830
"223","Baltimore City",1984,"BREAKING & ENTERING",14062
"224","Baltimore City",1984,"MOTOR VEHICLE THEFT",5419
"225","Baltimore City",1985,"ROBBERY",7794
"226","Baltimore City",1985,"AGGRAVATED ASSAULT",6949
"227","Baltimore City",1985,"BREAKING & ENTERING",13988
"228","Baltimore City",1985,"MOTOR VEHICLE THEFT",6027
"229","Baltimore City",1986,"ROBBERY",8008
"230","Baltimore City",1986,"AGGRAVATED ASSAULT",6369
"231","Baltimore City",1986,"BREAKING & ENTERING",14388
"232","Baltimore City",1986,"MOTOR VEHICLE THEFT",6884
"233","Baltimore City",1987,"ROBBERY",7485
"234","Baltimore City",1987,"AGGRAVATED ASSAULT",6030
"235","Baltimore City",1987,"BREAKING & ENTERING",13558
"236","Baltimore City",1987,"MOTOR VEHICLE THEFT",7495
"237","Baltimore City",1988,"ROBBERY",7418
"238","Baltimore City",1988,"AGGRAVATED ASSAULT",6592
"239","Baltimore City",1988,"BREAKING & ENTERING",14359
"240","Baltimore City",1988,"MOTOR VEHICLE THEFT",8468
"241","Baltimore City",1989,"ROBBERY",7986
"242","Baltimore City",1989,"AGGRAVATED ASSAULT",6876
"243","Baltimore City",1989,"BREAKING & ENTERING",14446
"244","Baltimore City",1989,"MOTOR VEHICLE THEFT",8188
"245","Baltimore City",1990,"ROBBERY",9491
"246","Baltimore City",1990,"AGGRAVATED ASSAULT",7519
"247","Baltimore City",1990,"BREAKING & ENTERING",14867
"248","Baltimore City",1990,"MOTOR VEHICLE THEFT",9939
