"","JURISDICTION","YEAR","CRIME","NUMBER"
"462","Baltimore County",1998,"AGGRAVATED ASSAULT",4005
"463","Baltimore County",1998,"BREAKING & ENTERING",6993
"464","Baltimore County",1998,"MOTOR VEHICLE THEFT",3367
"465","Baltimore County",1999,"ROBBERY",1708
"466","Baltimore County",1999,"AGGRAVATED ASSAULT",4171
"467","Baltimore County",1999,"BREAKING & ENTERING",6194
"468","Baltimore County",1999,"MOTOR VEHICLE THEFT",2953
"469","Baltimore County",2000,"ROBBERY",1587
"470","Baltimore County",2000,"AGGRAVATED ASSAULT",4340
"471","Baltimore County",2000,"BREAKING & ENTERING",5586
"472","Baltimore County",2000,"MOTOR VEHICLE THEFT",3418
"473","Baltimore County",2001,"ROBBERY",1728
"474","Baltimore County",2001,"AGGRAVATED ASSAULT",4576
"475","Baltimore County",2001,"BREAKING & ENTERING",6246
"476","Baltimore County",2001,"MOTOR VEHICLE THEFT",3297
"477","Baltimore County",2002,"ROBBERY",1705
"478","Baltimore County",2002,"AGGRAVATED ASSAULT",4589
"479","Baltimore County",2002,"BREAKING & ENTERING",5719
"480","Baltimore County",2002,"MOTOR VEHICLE THEFT",3491
"481","Baltimore County",2003,"ROBBERY",1611
"482","Baltimore County",2003,"AGGRAVATED ASSAULT",4356
"483","Baltimore County",2003,"BREAKING & ENTERING",5425
"484","Baltimore County",2003,"MOTOR VEHICLE THEFT",3341
"485","Baltimore County",2004,"ROBBERY",1565
"486","Baltimore County",2004,"AGGRAVATED ASSAULT",4388
"487","Baltimore County",2004,"BREAKING & ENTERING",4942
"488","Baltimore County",2004,"MOTOR VEHICLE THEFT",2936
"489","Baltimore County",2005,"ROBBERY",1769
"490","Baltimore County",2005,"AGGRAVATED ASSAULT",3663
"491","Baltimore County",2005,"BREAKING & ENTERING",4629
"492","Baltimore County",2005,"MOTOR VEHICLE THEFT",3046
"493","Baltimore County",2006,"ROBBERY",2090
"494","Baltimore County",2006,"AGGRAVATED ASSAULT",3445
"495","Baltimore County",2006,"BREAKING & ENTERING",4812
"496","Baltimore County",2006,"MOTOR VEHICLE THEFT",3463
"497","Baltimore County",2007,"ROBBERY",1787
"498","Baltimore County",2007,"AGGRAVATED ASSAULT",3407
"499","Baltimore County",2007,"BREAKING & ENTERING",4949
"500","Baltimore County",2007,"MOTOR VEHICLE THEFT",3372
"501","Baltimore County",2008,"ROBBERY",1730
"502","Baltimore County",2008,"AGGRAVATED ASSAULT",3018
"503","Baltimore County",2008,"BREAKING & ENTERING",4448
"504","Baltimore County",2008,"MOTOR VEHICLE THEFT",2940
"505","Baltimore County",2009,"ROBBERY",1471
"506","Baltimore County",2009,"AGGRAVATED ASSAULT",2898
"507","Baltimore County",2009,"BREAKING & ENTERING",4316
"508","Baltimore County",2009,"MOTOR VEHICLE THEFT",2443
"509","Baltimore County",2010,"ROBBERY",1341
"510","Baltimore County",2010,"AGGRAVATED ASSAULT",2862
"511","Baltimore County",2010,"BREAKING & ENTERING",4119
"512","Baltimore County",2010,"MOTOR VEHICLE THEFT",1880
"513","Baltimore County",2011,"ROBBERY",1457
"514","Baltimore County",2011,"AGGRAVATED ASSAULT",2654
"515","Baltimore County",2011,"BREAKING & ENTERING",4295
"516","Baltimore County",2011,"MOTOR VEHICLE THEFT",1710
"517","Baltimore County",2012,"ROBBERY",1368
"518","Baltimore County",2012,"AGGRAVATED ASSAULT",2643
"519","Baltimore County",2012,"BREAKING & ENTERING",4079
"520","Baltimore County",2012,"MOTOR VEHICLE THEFT",1572
"521","Baltimore County",2013,"ROBBERY",1511
"522","Baltimore County",2013,"AGGRAVATED ASSAULT",2544
"523","Baltimore County",2013,"BREAKING & ENTERING",3949
"524","Baltimore County",2013,"MOTOR VEHICLE THEFT",1463
"525","Baltimore County",2014,"ROBBERY",1512
"526","Baltimore County",2014,"AGGRAVATED ASSAULT",2405
"527","Baltimore County",2014,"BREAKING & ENTERING",3493
"528","Baltimore County",2014,"MOTOR VEHICLE THEFT",1499
"529","Baltimore County",2015,"ROBBERY",1525
"530","Baltimore County",2015,"AGGRAVATED ASSAULT",2626
"531","Baltimore County",2015,"BREAKING & ENTERING",3587
"532","Baltimore County",2015,"MOTOR VEHICLE THEFT",1770
"533","Baltimore County",2016,"ROBBERY",1498
"534","Baltimore County",2016,"AGGRAVATED ASSAULT",2564
"535","Baltimore County",2016,"BREAKING & ENTERING",3695
"536","Baltimore County",2016,"MOTOR VEHICLE THEFT",2070
"537","Baltimore County",2017,"ROBBERY",1536
"538","Baltimore County",2017,"AGGRAVATED ASSAULT",3166
"539","Baltimore County",2017,"BREAKING & ENTERING",3128
"540","Baltimore County",2017,"MOTOR VEHICLE THEFT",2029
"541","Baltimore County",2018,"ROBBERY",1337
"542","Baltimore County",2018,"AGGRAVATED ASSAULT",3135
"543","Baltimore County",2018,"BREAKING & ENTERING",2612
"544","Baltimore County",2018,"MOTOR VEHICLE THEFT",1847
"545","Baltimore County",2019,"ROBBERY",1163
"546","Baltimore County",2019,"AGGRAVATED ASSAULT",3140
"547","Baltimore County",2019,"BREAKING & ENTERING",2567
"548","Baltimore County",2019,"MOTOR VEHICLE THEFT",1602
"549","Baltimore County",2020,"ROBBERY",878
"550","Baltimore County",2020,"AGGRAVATED ASSAULT",2566
"551","Baltimore County",2020,"BREAKING & ENTERING",3258
"552","Baltimore County",2020,"MOTOR VEHICLE THEFT",1354
"553","Frederick County",1975,"ROBBERY",66
"554","Frederick County",1975,"AGGRAVATED ASSAULT",203
"555","Frederick County",1975,"BREAKING & ENTERING",702
"556","Frederick County",1975,"MOTOR VEHICLE THEFT",150
"557","Frederick County",1976,"ROBBERY",40
"558","Frederick County",1976,"AGGRAVATED ASSAULT",196
"559","Frederick County",1976,"BREAKING & ENTERING",846
"560","Frederick County",1976,"MOTOR VEHICLE THEFT",117
"561","Frederick County",1977,"ROBBERY",75
"562","Frederick County",1977,"AGGRAVATED ASSAULT",204
"563","Frederick County",1977,"BREAKING & ENTERING",867
"564","Frederick County",1977,"MOTOR VEHICLE THEFT",143
"565","Frederick County",1978,"ROBBERY",70
"566","Frederick County",1978,"AGGRAVATED ASSAULT",237
"567","Frederick County",1978,"BREAKING & ENTERING",909
"568","Frederick County",1978,"MOTOR VEHICLE THEFT",138
"569","Frederick County",1979,"ROBBERY",72
"570","Frederick County",1979,"AGGRAVATED ASSAULT",297
"571","Frederick County",1979,"BREAKING & ENTERING",1024
"572","Frederick County",1979,"MOTOR VEHICLE THEFT",155
"573","Frederick County",1980,"ROBBERY",78
"574","Frederick County",1980,"AGGRAVATED ASSAULT",371
"575","Frederick County",1980,"BREAKING & ENTERING",1097
"576","Frederick County",1980,"MOTOR VEHICLE THEFT",179
"577","Frederick County",1981,"ROBBERY",76
"578","Frederick County",1981,"AGGRAVATED ASSAULT",345
"579","Frederick County",1981,"BREAKING & ENTERING",1285
"580","Frederick County",1981,"MOTOR VEHICLE THEFT",181
"581","Frederick County",1982,"ROBBERY",82
"582","Frederick County",1982,"AGGRAVATED ASSAULT",441
"583","Frederick County",1982,"BREAKING & ENTERING",934
"584","Frederick County",1982,"MOTOR VEHICLE THEFT",156
"585","Frederick County",1983,"ROBBERY",73
"586","Frederick County",1983,"AGGRAVATED ASSAULT",579
"587","Frederick County",1983,"BREAKING & ENTERING",761
"588","Frederick County",1983,"MOTOR VEHICLE THEFT",141
"589","Frederick County",1984,"ROBBERY",76
"590","Frederick County",1984,"AGGRAVATED ASSAULT",443
"591","Frederick County",1984,"BREAKING & ENTERING",898
"592","Frederick County",1984,"MOTOR VEHICLE THEFT",173
"593","Frederick County",1985,"ROBBERY",83
"594","Frederick County",1985,"AGGRAVATED ASSAULT",509
"595","Frederick County",1985,"BREAKING & ENTERING",915
"596","Frederick County",1985,"MOTOR VEHICLE THEFT",179
"597","Frederick County",1986,"ROBBERY",64
"598","Frederick County",1986,"AGGRAVATED ASSAULT",570
"599","Frederick County",1986,"BREAKING & ENTERING",817
"600","Frederick County",1986,"MOTOR VEHICLE THEFT",199
"601","Frederick County",1987,"ROBBERY",63
"602","Frederick County",1987,"AGGRAVATED ASSAULT",509
"603","Frederick County",1987,"BREAKING & ENTERING",902
"604","Frederick County",1987,"MOTOR VEHICLE THEFT",196
"605","Frederick County",1988,"ROBBERY",117
"606","Frederick County",1988,"AGGRAVATED ASSAULT",558
"607","Frederick County",1988,"BREAKING & ENTERING",964
"608","Frederick County",1988,"MOTOR VEHICLE THEFT",198
"609","Frederick County",1989,"ROBBERY",117
"610","Frederick County",1989,"AGGRAVATED ASSAULT",587
"611","Frederick County",1989,"BREAKING & ENTERING",789
"612","Frederick County",1989,"MOTOR VEHICLE THEFT",248
"613","Frederick County",1990,"ROBBERY",124
"614","Frederick County",1990,"AGGRAVATED ASSAULT",732
"615","Frederick County",1990,"BREAKING & ENTERING",894
"616","Frederick County",1990,"MOTOR VEHICLE THEFT",248
"617","Frederick County",1991,"ROBBERY",86
"618","Frederick County",1991,"AGGRAVATED ASSAULT",667
"619","Frederick County",1991,"BREAKING & ENTERING",868
"620","Frederick County",1991,"MOTOR VEHICLE THEFT",215
"621","Frederick County",1992,"ROBBERY",107
"622","Frederick County",1992,"AGGRAVATED ASSAULT",679
"623","Frederick County",1992,"BREAKING & ENTERING",940
"624","Frederick County",1992,"MOTOR VEHICLE THEFT",241
"625","Frederick County",1993,"ROBBERY",103
"626","Frederick County",1993,"AGGRAVATED ASSAULT",758
"627","Frederick County",1993,"BREAKING & ENTERING",900
"628","Frederick County",1993,"MOTOR VEHICLE THEFT",261
"629","Frederick County",1994,"ROBBERY",109
"630","Frederick County",1994,"AGGRAVATED ASSAULT",559
"631","Frederick County",1994,"BREAKING & ENTERING",777
"632","Frederick County",1994,"MOTOR VEHICLE THEFT",258
"633","Frederick County",1995,"ROBBERY",141
"634","Frederick County",1995,"AGGRAVATED ASSAULT",555
"635","Frederick County",1995,"BREAKING & ENTERING",812
"636","Frederick County",1995,"MOTOR VEHICLE THEFT",267
"637","Frederick County",1996,"ROBBERY",128
"638","Frederick County",1996,"AGGRAVATED ASSAULT",782
"639","Frederick County",1996,"BREAKING & ENTERING",691
"640","Frederick County",1996,"MOTOR VEHICLE THEFT",239
"641","Frederick County",1997,"ROBBERY",136
"642","Frederick County",1997,"AGGRAVATED ASSAULT",529
"643","Frederick County",1997,"BREAKING & ENTERING",757
"644","Frederick County",1997,"MOTOR VEHICLE THEFT",230
"645","Frederick County",1998,"ROBBERY",96
"646","Frederick County",1998,"AGGRAVATED ASSAULT",528
"647","Frederick County",1998,"BREAKING & ENTERING",829
"648","Frederick County",1998,"MOTOR VEHICLE THEFT",213
"649","Frederick County",1999,"ROBBERY",134
"650","Frederick County",1999,"AGGRAVATED ASSAULT",531
"651","Frederick County",1999,"BREAKING & ENTERING",782
"652","Frederick County",1999,"MOTOR VEHICLE THEFT",252
"653","Frederick County",2000,"ROBBERY",119
"654","Frederick County",2000,"AGGRAVATED ASSAULT",732
"655","Frederick County",2000,"BREAKING & ENTERING",767
"656","Frederick County",2000,"MOTOR VEHICLE THEFT",265
"657","Frederick County",2001,"ROBBERY",134
"658","Frederick County",2001,"AGGRAVATED ASSAULT",787
"659","Frederick County",2001,"BREAKING & ENTERING",698
"660","Frederick County",2001,"MOTOR VEHICLE THEFT",255
"661","Frederick County",2002,"ROBBERY",148
"662","Frederick County",2002,"AGGRAVATED ASSAULT",691
"663","Frederick County",2002,"BREAKING & ENTERING",802
"664","Frederick County",2002,"MOTOR VEHICLE THEFT",263
"665","Frederick County",2003,"ROBBERY",118
"666","Frederick County",2003,"AGGRAVATED ASSAULT",675
"667","Frederick County",2003,"BREAKING & ENTERING",765
"668","Frederick County",2003,"MOTOR VEHICLE THEFT",240
"669","Frederick County",2004,"ROBBERY",177
"670","Frederick County",2004,"AGGRAVATED ASSAULT",656
"671","Frederick County",2004,"BREAKING & ENTERING",657
"672","Frederick County",2004,"MOTOR VEHICLE THEFT",221
"673","Frederick County",2005,"ROBBERY",148
"674","Frederick County",2005,"AGGRAVATED ASSAULT",557
"675","Frederick County",2005,"BREAKING & ENTERING",672
"676","Frederick County",2005,"MOTOR VEHICLE THEFT",197
"677","Frederick County",2006,"ROBBERY",181
"678","Frederick County",2006,"AGGRAVATED ASSAULT",527
"679","Frederick County",2006,"BREAKING & ENTERING",872
"680","Frederick County",2006,"MOTOR VEHICLE THEFT",224
"681","Frederick County",2007,"ROBBERY",134
"682","Frederick County",2007,"AGGRAVATED ASSAULT",631
"683","Frederick County",2007,"BREAKING & ENTERING",637
"684","Frederick County",2007,"MOTOR VEHICLE THEFT",247
"685","Frederick County",2008,"ROBBERY",154
"686","Frederick County",2008,"AGGRAVATED ASSAULT",612
"687","Frederick County",2008,"BREAKING & ENTERING",741
"688","Frederick County",2008,"MOTOR VEHICLE THEFT",239
"689","Frederick County",2009,"ROBBERY",179
"690","Frederick County",2009,"AGGRAVATED ASSAULT",572
"691","Frederick County",2009,"BREAKING & ENTERING",687
"692","Frederick County",2009,"MOTOR VEHICLE THEFT",175
"693","Frederick County",2010,"ROBBERY",205
"694","Frederick County",2010,"AGGRAVATED ASSAULT",486
"695","Frederick County",2010,"BREAKING & ENTERING",692
"696","Frederick County",2010,"MOTOR VEHICLE THEFT",178
"697","Frederick County",2011,"ROBBERY",127
"698","Frederick County",2011,"AGGRAVATED ASSAULT",432
"699","Frederick County",2011,"BREAKING & ENTERING",699
"700","Frederick County",2011,"MOTOR VEHICLE THEFT",174
"701","Frederick County",2012,"ROBBERY",131
"702","Frederick County",2012,"AGGRAVATED ASSAULT",438
"703","Frederick County",2012,"BREAKING & ENTERING",675
"704","Frederick County",2012,"MOTOR VEHICLE THEFT",198
"705","Frederick County",2013,"ROBBERY",141
"706","Frederick County",2013,"AGGRAVATED ASSAULT",450
"707","Frederick County",2013,"BREAKING & ENTERING",742
"708","Frederick County",2013,"MOTOR VEHICLE THEFT",150
"709","Frederick County",2014,"ROBBERY",113
"710","Frederick County",2014,"AGGRAVATED ASSAULT",448
"711","Frederick County",2014,"BREAKING & ENTERING",625
"712","Frederick County",2014,"MOTOR VEHICLE THEFT",83
"713","Frederick County",2015,"ROBBERY",107
"714","Frederick County",2015,"AGGRAVATED ASSAULT",448
"715","Frederick County",2015,"BREAKING & ENTERING",591
"716","Frederick County",2015,"MOTOR VEHICLE THEFT",110
"717","Frederick County",2016,"ROBBERY",104
"718","Frederick County",2016,"AGGRAVATED ASSAULT",456
"719","Frederick County",2016,"BREAKING & ENTERING",465
"720","Frederick County",2016,"MOTOR VEHICLE THEFT",118
"721","Frederick County",2017,"ROBBERY",123
"722","Frederick County",2017,"AGGRAVATED ASSAULT",517
"723","Frederick County",2017,"BREAKING & ENTERING",428
"724","Frederick County",2017,"MOTOR VEHICLE THEFT",104
"725","Frederick County",2018,"ROBBERY",103
"726","Frederick County",2018,"AGGRAVATED ASSAULT",370
"727","Frederick County",2018,"BREAKING & ENTERING",364
"728","Frederick County",2018,"MOTOR VEHICLE THEFT",107
"729","Frederick County",2019,"ROBBERY",87
"730","Frederick County",2019,"AGGRAVATED ASSAULT",419
"731","Frederick County",2019,"BREAKING & ENTERING",412
"732","Frederick County",2019,"MOTOR VEHICLE THEFT",116
"733","Frederick County",2020,"ROBBERY",68
"734","Frederick County",2020,"AGGRAVATED ASSAULT",330
"735","Frederick County",2020,"BREAKING & ENTERING",243
"736","Frederick County",2020,"MOTOR VEHICLE THEFT",110
"737","Montgomery County",1975,"ROBBERY",651
"738","Montgomery County",1975,"AGGRAVATED ASSAULT",367
"739","Montgomery County",1975,"BREAKING & ENTERING",5860
"740","Montgomery County",1975,"MOTOR VEHICLE THEFT",2029
"741","Montgomery County",1976,"ROBBERY",638
"742","Montgomery County",1976,"AGGRAVATED ASSAULT",360
"743","Montgomery County",1976,"BREAKING & ENTERING",5584
"744","Montgomery County",1976,"MOTOR VEHICLE THEFT",1655
"745","Montgomery County",1977,"ROBBERY",520
"746","Montgomery County",1977,"AGGRAVATED ASSAULT",462
"747","Montgomery County",1977,"BREAKING & ENTERING",5766
"748","Montgomery County",1977,"MOTOR VEHICLE THEFT",1739
"749","Montgomery County",1978,"ROBBERY",595
"750","Montgomery County",1978,"AGGRAVATED ASSAULT",598
"751","Montgomery County",1978,"BREAKING & ENTERING",5932
"752","Montgomery County",1978,"MOTOR VEHICLE THEFT",1731
"753","Montgomery County",1979,"ROBBERY",606
"754","Montgomery County",1979,"AGGRAVATED ASSAULT",670
"755","Montgomery County",1979,"BREAKING & ENTERING",6522
"756","Montgomery County",1979,"MOTOR VEHICLE THEFT",2163
"757","Montgomery County",1980,"ROBBERY",852
"758","Montgomery County",1980,"AGGRAVATED ASSAULT",553
"759","Montgomery County",1980,"BREAKING & ENTERING",8348
"760","Montgomery County",1980,"MOTOR VEHICLE THEFT",1938
"761","Montgomery County",1981,"ROBBERY",955
"762","Montgomery County",1981,"AGGRAVATED ASSAULT",733
"763","Montgomery County",1981,"BREAKING & ENTERING",7135
"764","Montgomery County",1981,"MOTOR VEHICLE THEFT",2000
"765","Montgomery County",1982,"ROBBERY",729
"766","Montgomery County",1982,"AGGRAVATED ASSAULT",879
"767","Montgomery County",1982,"BREAKING & ENTERING",5960
"768","Montgomery County",1982,"MOTOR VEHICLE THEFT",1687
"769","Montgomery County",1983,"ROBBERY",665
"770","Montgomery County",1983,"AGGRAVATED ASSAULT",716
"771","Montgomery County",1983,"BREAKING & ENTERING",5047
"772","Montgomery County",1983,"MOTOR VEHICLE THEFT",1401
"773","Montgomery County",1984,"ROBBERY",636
"774","Montgomery County",1984,"AGGRAVATED ASSAULT",845
"775","Montgomery County",1984,"BREAKING & ENTERING",5112
"776","Montgomery County",1984,"MOTOR VEHICLE THEFT",1601
"777","Montgomery County",1985,"ROBBERY",728
"778","Montgomery County",1985,"AGGRAVATED ASSAULT",892
"779","Montgomery County",1985,"BREAKING & ENTERING",5430
"780","Montgomery County",1985,"MOTOR VEHICLE THEFT",1986
"781","Montgomery County",1986,"ROBBERY",695
"782","Montgomery County",1986,"AGGRAVATED ASSAULT",900
"783","Montgomery County",1986,"BREAKING & ENTERING",5010
"784","Montgomery County",1986,"MOTOR VEHICLE THEFT",2291
"785","Montgomery County",1987,"ROBBERY",738
"786","Montgomery County",1987,"AGGRAVATED ASSAULT",928
"787","Montgomery County",1987,"BREAKING & ENTERING",5338
"788","Montgomery County",1987,"MOTOR VEHICLE THEFT",2640
"789","Montgomery County",1988,"ROBBERY",812
"790","Montgomery County",1988,"AGGRAVATED ASSAULT",973
"791","Montgomery County",1988,"BREAKING & ENTERING",5529
"792","Montgomery County",1988,"MOTOR VEHICLE THEFT",3218
"793","Montgomery County",1989,"ROBBERY",866
"794","Montgomery County",1989,"AGGRAVATED ASSAULT",900
"795","Montgomery County",1989,"BREAKING & ENTERING",4505
"796","Montgomery County",1989,"MOTOR VEHICLE THEFT",3010
"797","Montgomery County",1990,"ROBBERY",863
"798","Montgomery County",1990,"AGGRAVATED ASSAULT",1106
"799","Montgomery County",1990,"BREAKING & ENTERING",4973
"800","Montgomery County",1990,"MOTOR VEHICLE THEFT",3023
"801","Montgomery County",1991,"ROBBERY",1045
"802","Montgomery County",1991,"AGGRAVATED ASSAULT",1281
"803","Montgomery County",1991,"BREAKING & ENTERING",5263
"804","Montgomery County",1991,"MOTOR VEHICLE THEFT",3378
"805","Montgomery County",1992,"ROBBERY",993
"806","Montgomery County",1992,"AGGRAVATED ASSAULT",1296
"807","Montgomery County",1992,"BREAKING & ENTERING",4971
"808","Montgomery County",1992,"MOTOR VEHICLE THEFT",3134
"809","Montgomery County",1993,"ROBBERY",903
"810","Montgomery County",1993,"AGGRAVATED ASSAULT",1135
"811","Montgomery County",1993,"BREAKING & ENTERING",4648
"812","Montgomery County",1993,"MOTOR VEHICLE THEFT",3159
"813","Montgomery County",1994,"ROBBERY",937
"814","Montgomery County",1994,"AGGRAVATED ASSAULT",1145
"815","Montgomery County",1994,"BREAKING & ENTERING",4625
"816","Montgomery County",1994,"MOTOR VEHICLE THEFT",3370
"817","Montgomery County",1995,"ROBBERY",1088
"818","Montgomery County",1995,"AGGRAVATED ASSAULT",1190
"819","Montgomery County",1995,"BREAKING & ENTERING",4817
"820","Montgomery County",1995,"MOTOR VEHICLE THEFT",3388
"821","Montgomery County",1996,"ROBBERY",1038
"822","Montgomery County",1996,"AGGRAVATED ASSAULT",1075
"823","Montgomery County",1996,"BREAKING & ENTERING",4670
"824","Montgomery County",1996,"MOTOR VEHICLE THEFT",3329
"825","Montgomery County",1997,"ROBBERY",913
"826","Montgomery County",1997,"AGGRAVATED ASSAULT",1171
"827","Montgomery County",1997,"BREAKING & ENTERING",4144
"828","Montgomery County",1997,"MOTOR VEHICLE THEFT",3226
"829","Montgomery County",1998,"ROBBERY",796
"830","Montgomery County",1998,"AGGRAVATED ASSAULT",1038
"831","Montgomery County",1998,"BREAKING & ENTERING",4218
"832","Montgomery County",1998,"MOTOR VEHICLE THEFT",2815
"833","Montgomery County",1999,"ROBBERY",713
"834","Montgomery County",1999,"AGGRAVATED ASSAULT",830
"835","Montgomery County",1999,"BREAKING & ENTERING",3873
"836","Montgomery County",1999,"MOTOR VEHICLE THEFT",2667
"837","Montgomery County",2000,"ROBBERY",813
"838","Montgomery County",2000,"AGGRAVATED ASSAULT",871
"839","Montgomery County",2000,"BREAKING & ENTERING",3777
"840","Montgomery County",2000,"MOTOR VEHICLE THEFT",2904
"841","Montgomery County",2001,"ROBBERY",895
"842","Montgomery County",2001,"AGGRAVATED ASSAULT",912
"843","Montgomery County",2001,"BREAKING & ENTERING",3707
"844","Montgomery County",2001,"MOTOR VEHICLE THEFT",3353
"845","Montgomery County",2002,"ROBBERY",977
"846","Montgomery County",2002,"AGGRAVATED ASSAULT",950
"847","Montgomery County",2002,"BREAKING & ENTERING",3996
"848","Montgomery County",2002,"MOTOR VEHICLE THEFT",3958
"849","Montgomery County",2003,"ROBBERY",1076
"850","Montgomery County",2003,"AGGRAVATED ASSAULT",1015
"851","Montgomery County",2003,"BREAKING & ENTERING",4273
"852","Montgomery County",2003,"MOTOR VEHICLE THEFT",3676
"853","Montgomery County",2004,"ROBBERY",856
"854","Montgomery County",2004,"AGGRAVATED ASSAULT",1037
"855","Montgomery County",2004,"BREAKING & ENTERING",3893
"856","Montgomery County",2004,"MOTOR VEHICLE THEFT",2730
"857","Montgomery County",2005,"ROBBERY",1109
"858","Montgomery County",2005,"AGGRAVATED ASSAULT",909
"859","Montgomery County",2005,"BREAKING & ENTERING",3729
"860","Montgomery County",2005,"MOTOR VEHICLE THEFT",2671
"861","Montgomery County",2006,"ROBBERY",1261
"862","Montgomery County",2006,"AGGRAVATED ASSAULT",879
"863","Montgomery County",2006,"BREAKING & ENTERING",3932
"864","Montgomery County",2006,"MOTOR VEHICLE THEFT",2640
"865","Montgomery County",2007,"ROBBERY",1189
"866","Montgomery County",2007,"AGGRAVATED ASSAULT",865
"867","Montgomery County",2007,"BREAKING & ENTERING",3708
"868","Montgomery County",2007,"MOTOR VEHICLE THEFT",2634
"869","Montgomery County",2008,"ROBBERY",1192
"870","Montgomery County",2008,"AGGRAVATED ASSAULT",882
"871","Montgomery County",2008,"BREAKING & ENTERING",3760
"872","Montgomery County",2008,"MOTOR VEHICLE THEFT",2384
"873","Montgomery County",2009,"ROBBERY",1062
"874","Montgomery County",2009,"AGGRAVATED ASSAULT",957
"875","Montgomery County",2009,"BREAKING & ENTERING",3142
"876","Montgomery County",2009,"MOTOR VEHICLE THEFT",1824
"877","Montgomery County",2010,"ROBBERY",975
"878","Montgomery County",2010,"AGGRAVATED ASSAULT",683
"879","Montgomery County",2010,"BREAKING & ENTERING",3486
"880","Montgomery County",2010,"MOTOR VEHICLE THEFT",1530
"881","Montgomery County",2011,"ROBBERY",878
"882","Montgomery County",2011,"AGGRAVATED ASSAULT",681
"883","Montgomery County",2011,"BREAKING & ENTERING",3203
"884","Montgomery County",2011,"MOTOR VEHICLE THEFT",1278
"885","Montgomery County",2012,"ROBBERY",878
"886","Montgomery County",2012,"AGGRAVATED ASSAULT",876
"887","Montgomery County",2012,"BREAKING & ENTERING",2685
"888","Montgomery County",2012,"MOTOR VEHICLE THEFT",1073
"889","Montgomery County",2013,"ROBBERY",812
"890","Montgomery County",2013,"AGGRAVATED ASSAULT",813
"891","Montgomery County",2013,"BREAKING & ENTERING",2728
"892","Montgomery County",2013,"MOTOR VEHICLE THEFT",913
"893","Montgomery County",2014,"ROBBERY",661
"894","Montgomery County",2014,"AGGRAVATED ASSAULT",934
"895","Montgomery County",2014,"BREAKING & ENTERING",2442
"896","Montgomery County",2014,"MOTOR VEHICLE THEFT",753
"897","Montgomery County",2015,"ROBBERY",641
"898","Montgomery County",2015,"AGGRAVATED ASSAULT",1087
"899","Montgomery County",2015,"BREAKING & ENTERING",1946
"900","Montgomery County",2015,"MOTOR VEHICLE THEFT",768
"901","Montgomery County",2016,"ROBBERY",698
"902","Montgomery County",2016,"AGGRAVATED ASSAULT",783
"903","Montgomery County",2016,"BREAKING & ENTERING",1961
"904","Montgomery County",2016,"MOTOR VEHICLE THEFT",872
"905","Montgomery County",2017,"ROBBERY",737
"906","Montgomery County",2017,"AGGRAVATED ASSAULT",805
"907","Montgomery County",2017,"BREAKING & ENTERING",1658
"908","Montgomery County",2017,"MOTOR VEHICLE THEFT",828
"909","Montgomery County",2018,"ROBBERY",582
"910","Montgomery County",2018,"AGGRAVATED ASSAULT",840
"911","Montgomery County",2018,"BREAKING & ENTERING",1449
"912","Montgomery County",2018,"MOTOR VEHICLE THEFT",784
"913","Montgomery County",2019,"ROBBERY",580
"914","Montgomery County",2019,"AGGRAVATED ASSAULT",853
"915","Montgomery County",2019,"BREAKING & ENTERING",1425
"916","Montgomery County",2019,"MOTOR VEHICLE THEFT",888
"917","Montgomery County",2020,"ROBBERY",460
"918","Montgomery County",2020,"AGGRAVATED ASSAULT",912
"919","Montgomery County",2020,"BREAKING & ENTERING",1300
"920","Montgomery County",2020,"MOTOR VEHICLE THEFT",1137
"921","Prince George's County",1975,"ROBBERY",2445
"922","Prince George's County",1975,"AGGRAVATED ASSAULT",2024
"923","Prince George's County",1975,"BREAKING & ENTERING",11342
"924","Prince George's County",1975,"MOTOR VEHICLE THEFT",4722
"925","Prince George's County",1976,"ROBBERY",2205
"926","Prince George's County",1976,"AGGRAVATED ASSAULT",1962
"927","Prince George's County",1976,"BREAKING & ENTERING",11448
"928","Prince George's County",1976,"MOTOR VEHICLE THEFT",4172
"929","Prince George's County",1977,"ROBBERY",2204
"930","Prince George's County",1977,"AGGRAVATED ASSAULT",1915
"931","Prince George's County",1977,"BREAKING & ENTERING",11939
"932","Prince George's County",1977,"MOTOR VEHICLE THEFT",3521
"933","Prince George's County",1978,"ROBBERY",2295
"934","Prince George's County",1978,"AGGRAVATED ASSAULT",2022
"935","Prince George's County",1978,"BREAKING & ENTERING",12325
"936","Prince George's County",1978,"MOTOR VEHICLE THEFT",4044
"937","Prince George's County",1979,"ROBBERY",2613
"938","Prince George's County",1979,"AGGRAVATED ASSAULT",2314
"939","Prince George's County",1979,"BREAKING & ENTERING",12417
"940","Prince George's County",1979,"MOTOR VEHICLE THEFT",4466
"941","Prince George's County",1980,"ROBBERY",3314
"942","Prince George's County",1980,"AGGRAVATED ASSAULT",2261
"943","Prince George's County",1980,"BREAKING & ENTERING",14298
"944","Prince George's County",1980,"MOTOR VEHICLE THEFT",4458
"945","Prince George's County",1981,"ROBBERY",3841
"946","Prince George's County",1981,"AGGRAVATED ASSAULT",2185
"947","Prince George's County",1981,"BREAKING & ENTERING",14643
"948","Prince George's County",1981,"MOTOR VEHICLE THEFT",4565
"949","Prince George's County",1982,"ROBBERY",2998
